,sample_id,grn_n,grn_mean,grn_sd,red_n,red_mean,red_sd
92255,19709438,11,11530,726,11,1399,393
92261,19709458,16,1314,461,16,546,358
92264,19709463,4,10522,1403,4,2965,1391
92270,19709487,10,340,213,10,13497,2119
92273,19709507,12,12456,1246,12,1840,1016
92301,19710394,11,4998,820,11,190,113
92314,19710490,8,7087,1385,8,794,229
92316,19710503,9,795,173,9,16936,1410
92317,19711300,12,3546,897,12,7234,1058
92338,19711360,9,4786,433,9,39041,2962
92342,19711381,15,698,278,15,21082,1190
92362,19711486,11,177,91,11,4159,1337
92364,19711490,16,3463,798,16,1423,849
92372,19712314,9,855,284,9,20133,2054
92373,19712317,17,8044,944,17,1554,571
92377,19712323,7,341,90,7,533,362
92400,19712393,14,7158,828,14,1476,534
92403,19712398,9,6004,685,9,21552,1282
92440,19713373,10,621,296,10,2556,683
92487,19714385,17,312,171,17,2680,560
92495,19714444,10,423,131,10,11660,1978
92509,19715308,9,248,144,9,628,426
92511,19715320,13,2437,469,13,26362,1529
92513,19715325,20,1566,268,20,2619,663
92526,19715380,11,15987,1416,11,11524,1449
92561,19716325,15,424,248,15,8590,1149
92563,19716334,14,7506,685,14,1647,665
92567,19716341,10,5992,1147,10,776,271
92581,19716395,10,7683,642,10,1191,675
92586,19716453,14,622,306,14,23925,2588
92588,19716467,13,18250,2071,13,4935,1518
92606,19717327,13,16629,837,13,2116,678
92608,19717339,12,1462,585,12,23762,2338
92610,19717356,8,594,319,8,14194,857
92612,19717361,12,15549,1328,12,2958,1179
92619,19717391,14,3157,455,14,701,516
92641,19717507,13,5621,755,13,11333,1791
92644,19718303,10,1959,319,10,10607,1272
92646,19718310,12,1310,493,12,10371,1841
92650,19718327,11,10034,971,11,14670,1742
92653,19718338,10,147,87,10,593,371
92677,19718490,14,1058,403,14,21177,1561
92679,19718503,17,955,283,17,31692,2222
92684,19719306,19,1176,498,19,9084,1954
92697,19719356,11,11150,1440,11,2752,1031
92698,19719359,10,1184,272,10,31848,3377
92699,19719362,16,10116,1092,16,3997,1044
92718,19719470,19,7038,1061,19,859,380
92742,19720351,13,7747,741,13,1543,610
92776,19721310,7,20126,1508,7,4077,663
92790,19721360,10,229,193,10,2001,672
92792,19721367,18,3196,369,18,25581,1958
92793,19721376,20,18532,1217,20,7073,1072
92839,19722348,10,717,463,10,11476,1750
92845,19722372,15,13598,1413,15,1915,518
92880,19723324,18,4528,714,18,12198,1107
92910,19723460,12,1011,340,12,14261,2011
92921,19725312,10,2106,472,10,29932,2658
92949,19725450,13,6585,758,13,4068,530
92953,19725460,9,3427,442,9,35997,3122
93002,19726449,10,5191,975,10,3020,1279
93325,19733313,4,6963,179,4,4641,702
93335,19733378,9,21303,1887,9,2368,275
93342,19733414,13,1740,673,13,6098,1329
93343,19733415,19,9983,1158,19,1469,450
93360,19733448,8,379,290,8,4503,555
93371,19733510,6,699,74,6,4406,1138
93380,19734335,8,5353,924,8,731,617
93381,19734338,8,335,138,8,4634,1240
93387,19734356,7,264,169,7,1414,704
93392,19734372,12,1259,295,12,30943,1717
93398,19734389,16,1497,377,16,16564,1997
93407,19734451,12,3451,583,12,515,410
93440,19735363,15,293,177,15,739,445
93451,19735398,10,10214,747,10,1372,407
93460,19735463,13,1094,395,13,25038,2892
93474,19736314,12,3592,899,12,516,347
93492,19736372,9,10984,888,9,885,325
93503,19736453,10,1147,382,10,27722,2614
93504,19736458,13,14476,1377,13,13261,1901
93509,19736485,7,1003,355,7,19379,1744
93516,19737302,14,3278,412,14,21363,2010
93536,19737377,6,215,216,6,260,183
93550,19737454,3,589,431,3,10380,1696
93570,19738347,10,3827,818,10,16939,1653
93589,19738427,12,9887,1227,12,1512,517
93710,19741359,6,164,122,6,622,397
93720,19741389,17,13184,1333,17,2236,741
93725,19741398,15,4143,712,15,1425,569
93726,19741437,14,443,244,14,2512,741
93731,19741463,7,862,438,7,20984,761
93736,19741475,14,3829,646,14,396,296
93739,19741487,14,7177,696,14,2348,775
93741,19742300,16,548,261,16,655,346
93792,19742489,17,12966,1256,17,6796,1207
93795,19742500,15,12853,1242,15,2213,689
93830,19743432,16,1754,458,16,24739,2690
93851,19744301,11,589,279,11,9073,2074
93858,19744345,16,1709,372,16,32668,2794
93876,19744411,11,357,157,11,3633,740
93881,19744425,11,433,309,11,186,146
93895,19744496,15,787,320,15,1708,373
93915,19745410,6,13407,1238,6,6741,584
93925,19745426,19,6926,934,19,668,356
93946,19745510,17,445,193,17,961,480
93959,19746374,20,1012,471,20,4274,857
94021,19747461,15,4348,658,15,23527,1757
94028,19747506,18,1412,398,18,25552,2097
94045,19748402,16,595,253,16,659,356
94072,19748496,18,16733,1769,18,3832,760
94093,19749375,10,1432,314,10,12258,1332
94107,19749438,5,6755,1081,5,468,222
94108,19749439,7,12379,533,7,2229,490
94112,19749454,9,494,289,9,5391,1206
94117,19749480,9,18813,2366,9,2770,625
94124,19749507,7,289,244,7,8786,1052
94130,19750322,17,292,131,17,14173,1567
94159,19750436,13,19530,1780,13,2892,712
94169,19750482,10,3971,637,10,29883,2301
94214,19751397,3,14101,821,3,14068,120
94217,19751438,10,1891,640,10,20816,2468
94222,19751460,13,334,204,13,572,310
